auction_test
TEMP	EMBEDDING		GENERATOR	WEAK	STRONG	EMB	TIME
0.8	mxbai-embed-large	codellama	0.0%	0.0%	0.0%	9.98
1.0	mxbai-embed-large	codellama	0.0%	0.0%	0.0%	9.97
0.0	mxbai-embed-large	tinyllama	0.0%	0.0%	0.0%	1.77
0.2	mxbai-embed-large	tinyllama	0.0%	0.0%	0.0%	0.5
0.4	mxbai-embed-large	tinyllama	0.0%	0.0%	0.0%	0.49
0.6	mxbai-embed-large	tinyllama	0.0%	0.0%	0.0%	0.49
0.8	mxbai-embed-large	tinyllama	0.0%	0.0%	0.0%	0.53
1.0	mxbai-embed-large	tinyllama	0.0%	0.0%	0.0%	0.53
0.0	mxbai-embed-large	phi3		0.0%	0.0%	0.0%	10.62
0.2	mxbai-embed-large	phi3		0.0%	0.0%	0.0%	9.52
0.4	mxbai-embed-large	phi3		0.0%	0.0%	0.0%	4.51
0.6	mxbai-embed-large	phi3		0.0%	0.0%	0.0%	0.9
0.8	mxbai-embed-large	phi3		50.0%	50.0%	0.0%	0.63
1.0	mxbai-embed-large	phi3		0.0%	0.0%	0.0%	7.79
0.0	mxbai-embed-large	phi4		0.0%	0.0%	0.0%	30.81
0.2	mxbai-embed-large	phi4		0.0%	0.0%	0.0%	17.55
0.4	mxbai-embed-large	phi4		0.0%	0.0%	0.0%	17.54
0.6	mxbai-embed-large	phi4		0.0%	0.0%	0.0%	17.56
0.8	mxbai-embed-large	phi4		0.0%	0.0%	0.0%	17.67
1.0	mxbai-embed-large	phi4		0.0%	0.0%	0.0%	17.55
0.0	mxbai-embed-large	qwen		0.0%	0.0%	0.0%	4.41
0.2	mxbai-embed-large	qwen		0.0%	0.0%	0.0%	0.78
0.4	mxbai-embed-large	qwen		0.0%	0.0%	0.0%	0.75
0.6	mxbai-embed-large	qwen		0.0%	0.0%	0.0%	0.93
0.8	mxbai-embed-large	qwen		0.0%	0.0%	0.0%	0.88
1.0	mxbai-embed-large	qwen		0.0%	0.0%	0.0%	0.74
0.0	mxbai-embed-large	qwen2		0.0%	0.0%	0.0%	15.33
0.2	mxbai-embed-large	qwen2		0.0%	0.0%	0.0%	10.38
0.4	mxbai-embed-large	qwen2		0.0%	0.0%	0.0%	10.38
0.6	mxbai-embed-large	qwen2		0.0%	0.0%	0.0%	10.34
0.8	mxbai-embed-large	qwen2		0.0%	0.0%	0.0%	10.36
1.0	mxbai-embed-large	qwen2		0.0%	0.0%	0.0%	10.38
0.0	mxbai-embed-large	qwen2.5		50.0%	50.0%	0.0%	15.68
0.2	mxbai-embed-large	qwen2.5		50.0%	50.0%	0.0%	10.82
0.4	mxbai-embed-large	qwen2.5		50.0%	50.0%	0.0%	10.8
0.6	mxbai-embed-large	qwen2.5		50.0%	50.0%	0.0%	10.81
0.8	mxbai-embed-large	qwen2.5		0.0%	0.0%	0.0%	11.02
1.0	mxbai-embed-large	qwen2.5		50.0%	50.0%	0.0%	10.8
0.0	mxbai-embed-large	qwen2.5-coder	100.0%	100.0%	0.0%	15.42
0.2	mxbai-embed-large	qwen2.5-coder	100.0%	100.0%	0.0%	10.58
0.4	mxbai-embed-large	qwen2.5-coder	100.0%	100.0%	0.0%	10.54
0.6	mxbai-embed-large	qwen2.5-coder	100.0%	100.0%	0.0%	10.57
0.8	mxbai-embed-large	qwen2.5-coder	50.0%	50.0%	0.0%	10.81
1.0	mxbai-embed-large	qwen2.5-coder	100.0%	100.0%	0.0%	10.56
0.0	mxbai-embed-large	mistral		0.0%	0.0%	0.0%	14.87
0.2	mxbai-embed-large	mistral		0.0%	0.0%	0.0%	10.28
0.4	mxbai-embed-large	mistral		0.0%	0.0%	0.0%	10.14
0.6	mxbai-embed-large	mistral		0.0%	0.0%	0.0%	10.02
0.8	mxbai-embed-large	mistral		50.0%	50.0%	0.0%	10.15
1.0	mxbai-embed-large	mistral		0.0%	0.0%	0.0%	10.14
0.0	mxbai-embed-large	deepseek-coder-v2	0.0%	0.0%	0.0%	21.95
0.2	mxbai-embed-large	deepseek-coder-v2	0.0%	0.0%	0.0%	11.27
0.4	mxbai-embed-large	deepseek-coder-v2	50.0%	50.0%	0.0%	10.9
0.6	mxbai-embed-large	deepseek-coder-v2	0.0%	0.0%	0.0%	11.25
0.8	mxbai-embed-large	deepseek-coder-v2	50.0%	50.0%	0.0%	10.97
1.0	mxbai-embed-large	deepseek-coder-v2	0.0%	0.0%	0.0%	11.25
0.0	snowflake-arctic-embed	gemma		0.0%	0.0%	50.0%	18.69
0.2	snowflake-arctic-embed	gemma		0.0%	0.0%	50.0%	13.31
0.4	snowflake-arctic-embed	gemma		0.0%	0.0%	50.0%	13.38
0.6	snowflake-arctic-embed	gemma		0.0%	0.0%	50.0%	13.35
0.8	snowflake-arctic-embed	gemma		0.0%	0.0%	50.0%	13.3
1.0	snowflake-arctic-embed	gemma		0.0%	0.0%	50.0%	13.45
0.0	snowflake-arctic-embed	gemma2		50.0%	0.0%	50.0%	19.74
0.2	snowflake-arctic-embed	gemma2		50.0%	0.0%	50.0%	13.97
0.4	snowflake-arctic-embed	gemma2		50.0%	0.0%	50.0%	13.94
0.6	snowflake-arctic-embed	gemma2		50.0%	0.0%	50.0%	13.94
0.8	snowflake-arctic-embed	gemma2		50.0%	0.0%	50.0%	13.92
1.0	snowflake-arctic-embed	gemma2		50.0%	0.0%	50.0%	13.92
0.0	snowflake-arctic-embed	codegemma	0.0%	0.0%	50.0%	18.44
0.2	snowflake-arctic-embed	codegemma	0.0%	0.0%	50.0%	13.3
0.4	snowflake-arctic-embed	codegemma	0.0%	0.0%	50.0%	13.28
0.6	snowflake-arctic-embed	codegemma	0.0%	0.0%	50.0%	13.26
0.8	snowflake-arctic-embed	codegemma	0.0%	0.0%	50.0%	13.27
1.0	snowflake-arctic-embed	codegemma	0.0%	0.0%	50.0%	13.3
0.0	snowflake-arctic-embed	llama3.1	100.0%	100.0%	50.0%	16.71
0.2	snowflake-arctic-embed	llama3.1	100.0%	100.0%	50.0%	10.51
